round,scheme,gen_ms_mean,gen_ms_std,verify_ms_mean,verify_ms_std,proof_bytes_mean,proof_bytes_std,corr_risk_mean,corr_risk_std,zk_comp_mean,zk_comp_std,ppas_mean,ppas_std,n_auth
1,ZK-SNARK (Groth16),2340.418035121224,118.65911299280616,0.8218722306585048,0.04948055766803094,192.0,0.0,0.04121280245968175,0.008104193232758456,0.9909443862998922,0.002031543548346124,0.9805720416118894,0.002907808844291012,1000
1,ZK-STARK,8760.493808316025,429.4668041864979,44.83592621769802,3.185616444042616,87083.211,12771.184456520821,0.020822077359825678,0.0051226807965911525,0.998935222306907,0.0008529124141156257,0.8429929911084609,0.010842479740955702,1000
1,Bulletproofs,1125.0745173913663,89.6393480607857,118.06756618296681,8.87666988698313,2555.156,487.37691334735996,0.06250217686380123,0.011278985548407302,0.9778287350549888,0.004101943943186566,0.5878719316565164,0.01942653649818909,1000
1,ZKAuth (Proposed),1837.9313840333027,92.66473610699751,1.207742351755497,0.09009497746995736,256.0,0.0,0.008037820686866107,0.002978955011566382,0.9970172607449533,0.0009702429861300593,0.9924152701066503,0.001121729484647105,1000
2,ZK-SNARK (Groth16),2338.9821149287222,120.30525305215139,0.8192361153453546,0.05070048975313931,192.0,0.0,0.04096711686670316,0.007941751360353085,0.990986939537257,0.0019535294541190833,0.9806774569298169,0.0028598924928669852,1000
2,ZK-STARK,8762.160057242247,426.07245084805976,44.56475847165971,3.1439034875598213,87365.823,13117.912454185345,0.02079494477322541,0.00515645398552389,0.998902946334175,0.0008712790166746263,0.8438983110073826,0.01067052490180295,1000
2,Bulletproofs,1121.7614768676422,91.95464263163095,118.02716255221377,8.789643427114521,2542.956,486.9103491034053,0.06276673284817558,0.010279480889784188,0.978052066406372,0.004058816996480096,0.5878087175742153,0.01982426400963187,1000
2,ZKAuth (Proposed),1840.5017085803747,95.99821547168389,1.210969354918184,0.0910970434223554,256.0,0.0,0.007959772338414745,0.002952124033592139,0.9969833307020478,0.0009674462526685225,0.9924233478406728,0.0010994888176818563,1000
3,ZK-SNARK (Groth16),2336.3656993921704,118.86710465588045,0.8206660931159531,0.05043330575523076,192.0,0.0,0.040826524247832216,0.008069270373873819,0.9910954374201233,0.0019467140755298055,0.9807490222245697,0.0028475439970025995,1000
3,ZK-STARK,8764.960054610978,431.1965960514557,44.65645402620887,3.159506809729105,86519.88,12735.970286303278,0.021016118059612027,0.005082635628098421,0.9989122202556917,0.0008594796303084118,0.8435175669890291,0.01064277358584723,1000
3,Bulletproofs,1118.422428056671,87.30743417786853,118.39629486790332,8.675495789002536,2574.456,481.65610560232705,0.06344287876745491,0.010934074025635761,0.9778729293154466,0.0040694462756832705,0.586493734521299,0.01967341776015653,1000
3,ZKAuth (Proposed),1836.8387118044652,94.44451656287588,1.2107025835958711,0.09091570993481152,256.0,0.0,0.008016054459619455,0.00292806301367238,0.9970342773439815,0.0009932977671088244,0.9924172749964757,0.0010951332874133142,1000
4,ZK-SNARK (Groth16),2338.2369601814767,122.22896489030722,0.8206670328332556,0.05161532812674088,192.0,0.0,0.040826866216242284,0.007854238275940425,0.9910976823223219,0.0020008514431390256,0.9807494606287849,0.002831946970896617,1000
4,ZK-STARK,8746.152165440637,426.21560539535534,44.804267590090035,3.2739026664832385,87110.787,12780.313582914585,0.021116695670302405,0.005099528638094571,0.9989091155599527,0.0008712958652850324,0.8429888767717489,0.011039196626790964,1000
4,Bulletproofs,1118.2490167122978,89.21655297343364,118.21081322285855,8.785722878763545,2560.204,470.67235566155784,0.06259989903925843,0.010970919291746959,0.9782432954472101,0.003939845059308599,0.5875564495687682,0.01941966803299365,1000
4,ZKAuth (Proposed),1836.5030748418556,94.4183678468721,1.208815857566164,0.091170719675913,256.0,0.0,0.00803557091002133,0.00293871781631612,0.9970189702703692,0.000975256472843991,0.9924129065571976,0.0011024273928872737,1000
5,ZK-SNARK (Groth16),2343.810474555795,118.71518778617173,0.8225866802488686,0.04912096171270881,192.0,0.0,0.040490052082626043,0.008012596683498265,0.9909303030000554,0.002030434981763629,0.9808191019202652,0.0028462755376267037,1000
5,ZK-STARK,8750.85794493487,429.67332862948047,44.725789860099034,3.1745866694302745,87079.253,13329.43730804084,0.021017872045178975,0.004832260580401628,0.9988838301170081,0.0008671902183818108,0.8432787361131093,0.010735547450552689,1000
5,Bulletproofs,1126.3998507644224,90.2890237359715,118.00083011131818,8.554170708489433,2543.241,485.5344054946055,0.06318491622174716,0.010765744718879445,0.9781161049462633,0.00409130399759129,0.5874420044346439,0.019118627640324046,1000
5,ZKAuth (Proposed),1837.635661136921,92.6297937925216,1.2126051710436279,0.0942630568795736,256.0,0.0,0.007970374513714037,0.0029380048210946572,0.9970328461635242,0.001037465990556027,0.9924265632242691,0.001083804103119364,1000
6,ZK-SNARK (Groth16),2345.286984256164,124.82193465763102,0.8192162096319119,0.049662043153210336,192.0,0.0,0.04069032203585182,0.008008510607484585,0.9910876513127755,0.002000977684684651,0.9807995794168728,0.0028495604316257105,1000
6,ZK-STARK,8756.866974688757,427.8111236002926,44.6298012682579,3.1582956845654793,87455.88,12893.867477432828,0.02088492833162376,0.005132174280722623,0.9989252338526937,0.0008390036272893887,0.8436555793195787,0.010621857444783563,1000
6,Bulletproofs,1119.549028787516,89.8023825253799,118.24959507796527,8.951930961148317,2542.834,484.2744495056496,0.06299439619121418,0.01072160182883557,0.9778467275597457,0.003983182617301207,0.5875039173893444,0.01991824751812374,1000
6,ZKAuth (Proposed),1831.383841610434,95.09063522498666,1.2055104186953096,0.08883417345474054,256.0,0.0,0.008165688302766493,0.0030133984048859672,0.9969822569641051,0.0009931487340948614,0.9923692052727403,0.0011252853896213941,1000
7,ZK-SNARK (Groth16),2341.1879996288967,120.06507866165396,0.8191195324888635,0.04985214388234791,192.0,0.0,0.04114767309075626,0.00827344553601135,0.9910154504600939,0.0019810715989382866,0.9806217785916292,0.002934358803990411,1000
7,ZK-STARK,8746.267503425863,406.28808647144666,44.739979198729735,3.2161893414245712,87550.784,12676.583436925897,0.020874659082408924,0.004958792674420163,0.9988872940651506,0.0008960352905223945,0.8432824288416787,0.010909654953385754,1000
7,Bulletproofs,1121.7991178087168,91.61295265408032,117.91474122366184,8.46998231056909,2567.176,481.07961401830363,0.06255305253760768,0.010591389279781793,0.977859258821753,0.004062610461845067,0.587707110775476,0.018776421413855007,1000
7,ZKAuth (Proposed),1839.3500356643801,97.08742713723557,1.2083360783992867,0.0885134406017948,256.0,0.0,0.008051412299477995,0.002992136544220758,0.9970057015701713,0.0009756456497877298,0.9924056441597279,0.001113911427653222,1000
8,ZK-SNARK (Groth16),2337.1669925236415,120.42110557064832,0.820868922166289,0.05051045454932459,192.0,0.0,0.041356874535068915,0.007824823628595398,0.990990966582292,0.0020384464741501677,0.9805366058177447,0.0027820860612135473,1000
8,ZK-STARK,8774.944461030977,433.54797295792883,44.80724901000567,3.076492440729421,87195.847,13001.646671617831,0.02089203136111127,0.0048166113261175125,0.9989319246545296,0.0008502460720002639,0.8430632734872245,0.010436970233247399,1000
8,Bulletproofs,1121.6291962533617,88.1336345719543,118.29456825753505,8.97984224974671,2553.789,475.3956778084967,0.06239202069513992,0.010942749856228437,0.9781169152762763,0.003979811973475415,0.5876921297061652,0.019746566339297937,1000
8,ZKAuth (Proposed),1842.0710142076032,93.9870214733295,1.211814913523381,0.0853260781300651,256.0,0.0,0.007970093445558424,0.002944444989087798,0.9970231085411977,0.0010225153759697283,0.9924268613842759,0.0010977229444093265,1000
9,ZK-SNARK (Groth16),2339.454258123243,119.1859405736024,0.8169894756913989,0.050395879836321524,192.0,0.0,0.04103477740416329,0.008042350809157819,0.9910805534653407,0.0020465130941445045,0.9806846680225734,0.0028582604314520443,1000
9,ZK-STARK,8746.683088589065,431.83464350166184,44.895632786842434,3.223573205268889,87237.514,12488.001166792226,0.0210427808923873,0.005116274699250846,0.9989607616581285,0.0008576313000343723,0.8427231078127218,0.010815244954194772,1000
9,Bulletproofs,1119.7322186489491,87.2109281270105,117.97298002809914,8.99353903924661,2550.677,495.96771938403407,0.0625807852141366,0.010671772956712634,0.9780082540111957,0.004001490483584822,0.5882013620864741,0.02031968947297783,1000
